"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2018 SC)","2016-Mar-15 09:25 ± 1_00:37","0.00053","0.00049","14.30","13.95","28.0","6.7 m -   15 m","1"
"(2016 FZ13)","2016-Mar-23 03:54 ±    00:02","0.00252","0.00251","4.50","4.26","28.3","5.8 m -   13 m","0"
"(2016 FU6)","2016-Mar-25 19:19 ±    00:04","0.00120","0.00119","10.27","10.05","28.9","4.4 m -  9.9 m","0"
"(2016 FE15)","2016-Mar-28 14:18 ± < 00:01","0.00180","0.00180","12.28","12.16","28.8","4.6 m -   10 m","0"
"(2016 GS134)","2016-Apr-01 05:56 ± < 00:01","0.00133","0.00133","11.24","11.06","27.7","7.7 m -   17 m","1"
"(2016 GN134)","2016-Apr-04 13:52 ± < 00:01","0.00038","0.00038","13.90","13.39","30.3","2.3 m -  5.1 m","0"
"(2016 FW13)","2016-Apr-05 02:21 ± < 00:01","0.00210","0.00210","10.46","10.34","29.5","3.3 m -  7.5 m","0"
"(2016 GO206)","2016-Apr-06 20:01 ±    00:06","0.00220","0.00220","22.53","22.48","26.3","15 m -   33 m","1"
"(2016 GO134)","2016-Apr-08 19:39 ±    00:03","0.00222","0.00221","15.19","15.12","27.6","8.0 m -   18 m","0"
"(2016 JS5)","2016-May-05 22:47 ± < 00:01","0.00136","0.00135","16.08","15.95","30.7","1.9 m -  4.3 m","0"
"(2016 LR51)","2016-Jun-05 04:31 ±    00:03","0.00235","0.00233","11.49","11.39","27.4","8.8 m -   20 m","0"
"(2016 LT1)","2016-Jun-07 20:25 ± < 00:01","0.00097","0.00097","7.48","7.10","29.0","4.2 m -  9.4 m","0"
"(2016 LP10)","2016-Jun-09 18:32 ±    00:01","0.00048","0.00048","15.92","15.56","29.3","3.7 m -  8.2 m","0"
"(2016 NJ22)","2016-Jul-07 10:14 ± < 00:01","0.00191","0.00190","7.00","6.79","28.4","5.6 m -   12 m","0"
"(2016 NK22)","2016-Jul-11 13:15 ± < 00:01","0.00177","0.00177","7.12","6.90","29.0","4.2 m -  9.4 m","0"
"(2016 QA2)","2016-Aug-28 01:26 ± < 00:01","0.00058","0.00058","10.27","9.81","25.1","25 m -   57 m","3"
"(2016 RR1)","2016-Sep-02 16:15 ± < 00:01","0.00086","0.00086","7.22","6.78","28.0","6.7 m -   15 m","1"
"(2016 RS1)","2016-Sep-03 00:30 ±    00:01","0.00127","0.00127","7.11","6.81","29.2","3.8 m -  8.6 m","0"
"(2016 RB1)","2016-Sep-07 17:20 ± < 00:01","0.00027","0.00027","8.13","6.81","28.3","5.8 m -   13 m","2"
"(2016 RN41)","2016-Sep-11 14:56 ±    00:02","0.00016","0.00015","11.72","10.19","31.0","1.7 m -  3.7 m","0"
"(2016 SJ)","2016-Sep-21 18:28 ± < 00:01","0.00100","0.00100","13.70","13.51","29.0","4.2 m -  9.4 m","0"
"(2016 SU2)","2016-Sep-24 19:07 ± < 00:01","0.00235","0.00234","12.87","12.78","27.6","8.0 m -   18 m","0"
"(2016 SA2)","2016-Sep-25 07:12 ± < 00:01","0.00205","0.00205","5.47","5.23","28.1","6.3 m -   14 m","0"
"(2016 TD)","2016-Sep-30 17:15 ± < 00:01","0.00151","0.00151","13.81","13.69","28.1","6.4 m -   14 m","0"
"(2016 TH)","2016-Oct-03 16:31 ± < 00:01","0.00086","0.00086","7.80","7.39","29.4","3.5 m -  7.8 m","0"
"(2016 TG94)","2016-Oct-08 01:33 ±    00:02","0.00145","0.00144","8.99","8.79","29.7","3.1 m -  7.0 m","0"
"(2016 TS54)","2016-Oct-10 04:22 ±    00:03","0.00050","0.00050","16.93","16.62","27.8","7.3 m -   16 m","1"
"(2016 TB19)","2016-Oct-11 19:13 ± < 00:01","0.00212","0.00211","13.12","13.02","29.1","4.0 m -  9.0 m","0"
"(2016 UD)","2016-Oct-17 23:32 ±    00:14","0.00048","0.00048","22.36","22.12","26.6","13 m -   28 m","2"
"(2016 VA)","2016-Nov-02 00:42 ± < 00:01","0.00063","0.00063","21.24","21.04","27.6","8.0 m -   18 m","1"
